receipt_id,store_id,terminal_id,cashier_id,sold_at,status,customer_id,currency,subtotal,discount_total,tax_total,shipping_fee,grand_total
REC00000049,POS001,TERM001,CASH001,2025-04-20 01:08:06,COMPLETED,POSC00000025,MYR,390,13,23.4,0,400.4
REC00000050,POS002,TERM003,CASH001,2025-07-04 14:15:34,COMPLETED,POSC00000047,MYR,1010,26,60.6,0,1044.6
REC00000051,POS001,TERM002,CASH001,2025-06-30 04:48:21,COMPLETED,POSC00000015,MYR,1030,7,61.8,0,1084.8
REC00000052,POS002,TERM003,CASH003,2025-05-22 05:26:41,COMPLETED,POSC00000030,MYR,2030,14,121.8,0,2137.8
REC00000053,POS001,TERM001,CASH003,2025-08-14 04:28:21,COMPLETED,POSC00000042,MYR,1990,31,119.4,0,2078.4
REC00000054,POS002,TERM003,CASH002,2025-06-13 08:58:24,COMPLETED,POSC00000098,MYR,1690,13,101.4,0,1778.4
REC00000055,POS001,TERM002,CASH002,2024-08-01 18:13:28,COMPLETED,POSC00000043,MYR,2130,16,127.8,0,2241.8
REC00000056,POS001,TERM002,CASH001,2025-08-07 18:07:07,COMPLETED,POSC00000023,MYR,340,11,20.4,0,349.4
REC00000057,POS001,TERM001,CASH003,2024-09-12 17:32:47,REFUNDED,POSC00000087,MYR,720,14,43.2,0,749.2
REC00000058,POS003,TERM004,CASH002,2025-04-13 18:20:43,COMPLETED,POSC00000039,MYR,2330,12,139.8,0,2457.8
REC00000059,POS001,TERM002,CASH001,2025-08-27 16:19:20,COMPLETED,POSC00000022,MYR,260,1,15.6,0,274.6
REC00000060,POS003,TERM004,CASH001,2025-05-28 19:48:42,COMPLETED,POSC00000007,MYR,460,2,27.6,0,485.6
REC00000061,POS003,TERM004,CASH001,2024-08-22 04:20:20,COMPLETED,POSC00000012,MYR,900,4,54.0,0,950.0
REC00000062,POS001,TERM002,CASH002,2025-07-05 20:51:05,COMPLETED,POSC00000069,MYR,780,1,46.8,0,825.8
REC00000063,POS002,TERM003,CASH002,2025-07-24 23:02:54,COMPLETED,POSC00000059,MYR,1270,17,76.2,0,1329.2
REC00000064,POS003,TERM004,CASH003,2025-06-13 09:09:03,COMPLETED,POSC00000061,MYR,2100,17,126.0,0,2209.0
REC00000065,POS003,TERM004,CASH003,2025-05-15 06:29:09,COMPLETED,POSC00000098,MYR,710,14,42.6,0,738.6
REC00000066,POS003,TERM004,CASH003,2025-01-01 20:13:31,COMPLETED,POSC00000039,MYR,530,9,31.8,0,552.8
REC00000067,POS001,TERM002,CASH002,2025-08-03 11:15:53,REFUNDED,POSC00000028,MYR,870,13,52.2,0,909.2
REC00000068,POS003,TERM004,CASH003,2024-02-18 08:04:44,COMPLETED,POSC00000096,MYR,990,23,59.4,0,1026.4
REC00000069,POS002,TERM003,CASH002,2024-05-15 07:22:09,COMPLETED,POSC00000048,MYR,300,3,18.0,0,315.0
REC00000070,POS003,TERM004,CASH002,2025-08-24 01:15:46,COMPLETED,POSC00000081,MYR,200,6,12.0,0,206.0
REC00000071,POS001,TERM002,CASH001,2024-12-04 07:31:46,COMPLETED,POSC00000054,MYR,800,5,48.0,0,843.0
REC00000072,POS003,TERM004,CASH002,2023-09-23 10:49:30,COMPLETED,POSC00000096,MYR,290,4,17.4,0,303.4
REC00000073,POS001,TERM002,CASH003,2025-06-01 08:40:31,COMPLETED,POSC00000050,MYR,960,9,57.6,0,1008.6
REC00000074,POS002,TERM003,CASH003,2024-10-30 17:09:23,COMPLETED,POSC00000018,MYR,1720,20,103.2,0,1803.2
REC00000075,POS003,TERM004,CASH003,2025-06-09 01:58:11,COMPLETED,POSC00000036,MYR,1710,15,102.6,0,1797.6
REC00000076,POS001,TERM001,CASH003,2025-07-13 22:55:54,COMPLETED,POSC00000010,MYR,360,8,21.6,0,373.6
REC00000077,POS002,TERM003,CASH002,2025-08-13 21:25:21,COMPLETED,POSC00000053,MYR,1620,13,97.2,0,1704.2
REC00000078,POS001,TERM002,CASH003,2025-08-19 01:07:46,COMPLETED,POSC00000001,MYR,1230,24,73.8,0,1279.8
REC00000079,POS001,TERM002,CASH002,2024-10-19 22:23:17,CANCELLED,POSC00000026,MYR,830,20,49.8,0,859.8
REC00000080,POS001,TERM001,CASH002,2025-05-09 22:13:17,COMPLETED,POSC00000017,MYR,1350,12,81.0,0,1419.0
REC00000081,POS002,TERM003,CASH002,2025-08-11 22:54:58,COMPLETED,POSC00000100,MYR,1220,21,73.2,0,1272.2
REC00000082,POS001,TERM001,CASH002,2023-11-11 12:42:30,COMPLETED,POSC00000007,MYR,1380,14,82.8,5,1453.8
REC00000083,POS001,TERM002,CASH003,2025-08-09 01:58:10,COMPLETED,POSC00000090,MYR,2160,16,129.6,0,2273.6
REC00000084,POS001,TERM002,CASH001,2025-02-13 18:37:06,COMPLETED,POSC00000044,MYR,2420,14,145.2,0,2551.2
REC00000085,POS001,TERM002,CASH001,2024-03-24 22:56:35,COMPLETED,POSC00000062,MYR,870,5,52.2,0,917.2
REC00000086,POS001,TERM001,CASH003,2025-06-28 16:29:39,COMPLETED,POSC00000019,MYR,900,7,54.0,0,947.0
REC00000087,POS003,TERM004,CASH003,2025-02-07 04:14:06,COMPLETED,POSC00000065,MYR,2160,23,129.6,0,2266.6
REC00000088,POS002,TERM003,CASH002,2024-06-23 18:29:46,COMPLETED,POSC00000055,MYR,1320,9,79.2,0,1390.2
REC00000089,POS001,TERM002,CASH001,2025-08-01 13:21:02,COMPLETED,POSC00000044,MYR,180,9,10.8,0,181.8
REC00000090,POS001,TERM002,CASH001,2024-08-11 09:00:07,COMPLETED,POSC00000098,MYR,1010,10,60.6,10,1070.6
REC00000091,POS001,TERM002,CASH003,2023-11-01 16:32:15,COMPLETED,POSC00000009,MYR,1380,6,82.8,0,1456.8
REC00000092,POS002,TERM003,CASH002,2024-05-05 09:09:05,COMPLETED,POSC00000048,MYR,140,6,8.4,0,142.4
REC00000093,POS001,TERM002,CASH002,2024-08-13 19:59:58,COMPLETED,POSC00000002,MYR,300,2,18.0,0,316.0
REC00000094,POS002,TERM003,CASH002,2024-11-11 08:36:29,COMPLETED,POSC00000014,MYR,1870,19,112.2,0,1963.2
REC00000095,POS001,TERM002,CASH001,2024-12-19 08:37:21,COMPLETED,POSC00000049,MYR,1010,9,60.6,0,1061.6
REC00000096,POS001,TERM002,CASH002,2025-07-12 09:52:19,COMPLETED,POSC00000038,MYR,2360,23,141.6,0,2478.6
REC00000097,POS001,TERM002,CASH002,2025-01-28 15:29:26,COMPLETED,POSC00000051,MYR,1030,12,61.8,0,1079.8
REC00000098,POS001,TERM002,CASH003,2025-02-05 22:06:34,CANCELLED,POSC00000051,MYR,300,0,18.0,0,318.0
REC00000099,POS001,TERM002,CASH002,2024-12-03 02:40:21,COMPLETED,POSC00000018,MYR,2770,22,166.2,0,2914.2
REC00000100,POS001,TERM002,CASH001,2025-02-12 00:46:14,COMPLETED,POSC00000086,MYR,1150,10,69.0,7,1216.0
