order_id,buyer_id,created_at,updated_at,status,currency,total_amount,shipping_fee,tax_total,voucher_amount,campaign_id,influencer_id,market_region
TIK-ORD00000043,TIKC00000024,2025-06-04 08:44:10,2025-08-13 05:53:06,COMPLETED,MYR,1010.2,0,58.2,18,TIK-CAMP002,,MALAYSIA
TIK-ORD00000044,TIKC00000037,2025-05-24 06:02:40,2025-07-23 07:24:55,COMPLETED,MYR,1691.2,0,97.2,26,TIK-CAMP004,,MALAYSIA
TIK-ORD00000045,TIKC00000036,2025-08-12 03:05:07,2025-08-22 00:59:29,COMPLETED,MYR,754.2,0,43.2,9,,,MALAYSIA
TIK-ORD00000046,TIKC00000041,2025-06-18 16:20:48,2025-07-27 18:00:27,COMPLETED,MYR,1718.8,0,97.8,9,,,MALAYSIA
TIK-ORD00000047,TIKC00000044,2025-05-26 13:11:52,2025-07-19 09:04:20,REFUNDED,MYR,1655.4,0,95.4,30,,,MALAYSIA
TIK-ORD00000048,TIKC00000020,2025-08-11 03:26:53,2025-08-15 19:12:10,COMPLETED,MYR,1212.0,0,69.0,7,,,MALAYSIA
TIK-ORD00000049,TIKC00000004,2025-06-14 20:11:12,2025-08-18 09:35:04,COMPLETED,MYR,1177.2,0,67.2,10,,,MALAYSIA
TIK-ORD00000050,TIKC00000038,2025-05-05 21:37:42,2025-06-08 16:39:16,SHIPPED,MYR,1502.8,0,85.8,13,,,MALAYSIA
TIK-ORD00000051,TIKC00000060,2025-06-06 10:40:52,2025-07-15 20:54:17,COMPLETED,MYR,859.2,1,49.2,11,,TIK-INFL008,MALAYSIA
TIK-ORD00000052,TIKC00000016,2025-04-25 02:52:35,2025-04-25 04:46:05,COMPLETED,MYR,1068.2,0,61.2,13,,TIK-INFL003,MALAYSIA
TIK-ORD00000053,TIKC00000026,2025-05-28 06:41:07,2025-06-25 03:14:33,COMPLETED,MYR,2225.6,8,126.6,19,,TIK-INFL012,MALAYSIA
TIK-ORD00000054,TIKC00000043,2025-05-24 01:15:08,2025-08-15 12:40:34,COMPLETED,MYR,1416.4,0,80.4,4,,,MALAYSIA
TIK-ORD00000055,TIKC00000043,2025-08-03 20:39:17,2025-08-19 12:06:08,COMPLETED,MYR,408.4,0,23.4,5,,TIK-INFL016,MALAYSIA
TIK-ORD00000056,TIKC00000034,2025-06-01 23:32:52,2025-07-14 20:59:01,CANCELLED,MYR,1583.2,0,91.2,28,,,MALAYSIA
TIK-ORD00000057,TIKC00000051,2025-08-01 01:30:59,2025-08-11 10:29:47,COMPLETED,MYR,730.0,0,42.0,12,,,MALAYSIA
TIK-ORD00000058,TIKC00000056,2025-08-07 13:16:24,2025-08-19 00:55:27,COMPLETED,MYR,958.2,0,55.2,17,,,MALAYSIA
TIK-ORD00000059,TIKC00000060,2025-04-16 11:15:48,2025-08-22 09:43:49,COMPLETED,MYR,485.6,0,27.6,2,,,MALAYSIA
TIK-ORD00000060,TIKC00000053,2025-08-03 03:39:50,2025-08-16 22:17:56,COMPLETED,MYR,1070.2,2,61.2,13,,,MALAYSIA
TIK-ORD00000061,TIKC00000054,2025-04-29 09:10:26,2025-08-27 15:08:18,COMPLETED,MYR,461.4,0,26.4,5,,,MALAYSIA
TIK-ORD00000062,TIKC00000027,2025-08-16 07:54:53,2025-08-18 14:19:00,COMPLETED,MYR,1503.8,0,85.8,12,,TIK-INFL001,MALAYSIA
TIK-ORD00000063,TIKC00000005,2025-08-28 09:53:51,2025-08-28 18:26:55,COMPLETED,MYR,1632.0,0,93.0,11,,TIK-INFL005,MALAYSIA
TIK-ORD00000064,TIKC00000041,2025-06-12 13:25:14,2025-07-04 08:52:16,COMPLETED,MYR,1076.2,0,61.2,5,,,MALAYSIA
TIK-ORD00000065,TIKC00000027,2025-08-27 18:30:37,2025-08-28 09:00:37,COMPLETED,MYR,1269.6,0,72.6,13,,,MALAYSIA
TIK-ORD00000066,TIKC00000043,2025-05-11 20:26:57,2025-05-16 14:16:47,COMPLETED,MYR,104.0,0,6.0,2,TIK-CAMP003,,MALAYSIA
TIK-ORD00000067,TIKC00000030,2025-03-04 18:59:23,2025-04-21 08:02:19,COMPLETED,MYR,1294.8,0,73.8,9,TIK-CAMP001,,MALAYSIA
TIK-ORD00000068,TIKC00000031,2025-04-26 15:03:38,2025-08-23 07:48:13,CANCELLED,MYR,1200.4,0,68.4,8,,,MALAYSIA
TIK-ORD00000069,TIKC00000002,2024-12-21 04:34:44,2025-06-16 01:21:54,COMPLETED,MYR,787.6,0,45.6,18,,,MALAYSIA
TIK-ORD00000070,TIKC00000011,2025-02-19 00:52:30,2025-08-10 02:34:20,COMPLETED,MYR,2026.2,0,115.2,9,,,MALAYSIA
TIK-ORD00000071,TIKC00000006,2025-08-24 03:28:12,2025-08-27 15:18:29,COMPLETED,MYR,728.4,0,41.4,3,,,MALAYSIA
TIK-ORD00000072,TIKC00000013,2025-03-15 15:18:43,2025-08-02 03:02:47,COMPLETED,MYR,1738.6,0,99.6,21,,,MALAYSIA
TIK-ORD00000073,TIKC00000029,2025-07-19 20:05:31,2025-08-12 20:04:59,REFUNDED,MYR,1924.8,0,109.8,15,,,MALAYSIA
TIK-ORD00000074,TIKC00000005,2025-08-11 08:23:15,2025-08-17 06:31:07,COMPLETED,MYR,744.2,0,43.2,19,TIK-CAMP001,,MALAYSIA
TIK-ORD00000075,TIKC00000027,2025-08-11 18:37:12,2025-08-27 16:48:05,COMPLETED,MYR,205.0,0,12.0,7,,TIK-INFL001,MALAYSIA
TIK-ORD00000076,TIKC00000014,2025-02-03 13:37:02,2025-03-16 23:04:58,REFUNDED,MYR,928.4,0,53.4,15,TIK-CAMP003,,MALAYSIA
TIK-ORD00000077,TIKC00000035,2025-08-29 12:27:38,2025-08-29 16:19:49,COMPLETED,MYR,1337.2,1,76.2,10,TIK-CAMP001,TIK-INFL017,MALAYSIA
TIK-ORD00000078,TIKC00000057,2025-01-23 17:41:48,2025-04-02 01:04:45,COMPLETED,MYR,2256.0,0,129.0,23,,,MALAYSIA
TIK-ORD00000079,TIKC00000007,2025-08-16 06:34:53,2025-08-27 13:12:04,COMPLETED,MYR,1714.8,6,97.8,19,,,MALAYSIA
TIK-ORD00000080,TIKC00000025,2025-03-21 06:00:58,2025-07-07 11:42:55,COMPLETED,MYR,1642.6,0,93.6,11,,,MALAYSIA
TIK-ORD00000081,TIKC00000002,2025-02-27 16:28:01,2025-08-24 20:11:13,CANCELLED,MYR,1155.0,0,66.0,11,,TIK-INFL018,MALAYSIA
TIK-ORD00000082,TIKC00000052,2025-08-12 09:02:00,2025-08-15 07:43:47,COMPLETED,MYR,948.0,1,54.0,7,TIK-CAMP001,TIK-INFL001,MALAYSIA
TIK-ORD00000083,TIKC00000033,2025-04-18 02:47:26,2025-05-14 00:11:44,COMPLETED,MYR,1184.4,0,68.4,24,TIK-CAMP003,,MALAYSIA
TIK-ORD00000084,TIKC00000049,2025-08-11 21:34:55,2025-08-23 04:15:22,COMPLETED,MYR,816.8,0,46.8,10,,,MALAYSIA
TIK-ORD00000085,TIKC00000003,2025-07-23 02:35:31,2025-08-28 18:31:19,COMPLETED,MYR,105.0,0,6.0,1,,,MALAYSIA
TIK-ORD00000086,TIKC00000035,2025-07-27 21:52:49,2025-08-26 15:40:19,REFUNDED,MYR,848.6,0,48.6,10,,,MALAYSIA
TIK-ORD00000087,TIKC00000024,2025-08-17 04:22:37,2025-08-27 12:58:17,COMPLETED,MYR,312.0,0,18.0,6,,,MALAYSIA
TIK-ORD00000088,TIKC00000027,2025-08-28 08:29:42,2025-08-29 17:30:45,COMPLETED,MYR,1711.4,0,98.4,27,TIK-CAMP004,,MALAYSIA
TIK-ORD00000089,TIKC00000057,2025-05-31 12:29:10,2025-07-13 19:32:24,REFUNDED,MYR,708.8,0,40.8,12,,,MALAYSIA
TIK-ORD00000090,TIKC00000024,2025-06-11 01:40:11,2025-08-22 06:30:44,REFUNDED,MYR,1029.8,0,58.8,9,,,MALAYSIA
TIK-ORD00000091,TIKC00000007,2025-08-12 01:43:26,2025-08-22 23:54:30,COMPLETED,MYR,103.0,0,6.0,3,,TIK-INFL016,MALAYSIA
TIK-ORD00000092,TIKC00000031,2025-02-01 18:18:33,2025-05-08 18:45:01,COMPLETED,MYR,1086.4,0,62.4,16,,TIK-INFL010,MALAYSIA
TIK-ORD00000093,TIKC00000042,2025-08-28 18:35:21,2025-08-29 04:41:08,COMPLETED,MYR,787.6,0,45.6,18,,,MALAYSIA
TIK-ORD00000094,TIKC00000040,2025-07-23 20:58:42,2025-08-16 09:34:29,COMPLETED,MYR,1786.0,0,102.0,16,TIK-CAMP001,,MALAYSIA
TIK-ORD00000095,TIKC00000027,2025-08-23 09:45:39,2025-08-26 07:26:46,COMPLETED,MYR,2144.4,0,122.4,18,,,MALAYSIA
TIK-ORD00000096,TIKC00000022,2025-04-15 11:15:11,2025-07-09 21:12:28,COMPLETED,MYR,2240.2,10,127.2,17,TIK-CAMP003,,MALAYSIA
TIK-ORD00000097,TIKC00000002,2024-12-22 23:58:04,2025-04-12 23:08:49,REFUNDED,MYR,845.6,0,48.6,13,,,MALAYSIA
TIK-ORD00000098,TIKC00000043,2025-05-28 18:32:57,2025-06-24 03:41:28,COMPLETED,MYR,1519.8,13,85.8,9,,,MALAYSIA
TIK-ORD00000099,TIKC00000016,2025-02-01 18:03:27,2025-06-05 21:57:59,COMPLETED,MYR,1503.8,0,85.8,12,,,MALAYSIA
TIK-ORD00000100,TIKC00000023,2025-06-17 23:12:56,2025-06-25 18:58:30,COMPLETED,MYR,187.8,0,10.8,3,,,MALAYSIA
TIK-ORD00000101,TIKC00000043,2025-05-10 02:35:59,2025-06-08 09:31:17,COMPLETED,MYR,1396.2,0,79.2,3,,,MALAYSIA
TIK-ORD00000102,TIKC00000014,2025-05-02 05:26:56,2025-07-15 14:31:21,CANCELLED,MYR,2069.6,13,117.6,21,TIK-CAMP002,,MALAYSIA
TIK-ORD00000103,TIKC00000044,2025-04-01 01:44:23,2025-08-16 05:53:29,COMPLETED,MYR,1104.4,11,62.4,9,,TIK-INFL020,MALAYSIA
TIK-ORD00000104,TIKC00000009,2025-02-17 15:52:37,2025-03-02 03:12:18,COMPLETED,MYR,1393.8,0,79.8,16,,,MALAYSIA
TIK-ORD00000105,TIKC00000054,2025-03-21 07:39:43,2025-06-08 11:12:45,COMPLETED,MYR,1101.4,6,62.4,7,,,MALAYSIA
TIK-ORD00000106,TIKC00000041,2025-06-20 12:08:23,2025-08-12 04:30:55,COMPLETED,MYR,1448.8,0,82.8,14,,,MALAYSIA
TIK-ORD00000107,TIKC00000039,2025-07-30 23:09:53,2025-08-20 03:34:36,SHIPPED,MYR,566.4,0,32.4,6,,,MALAYSIA
TIK-ORD00000108,TIKC00000057,2024-11-23 22:18:28,2025-02-12 06:08:38,REFUNDED,MYR,1992.4,0,113.4,11,,,MALAYSIA
TIK-ORD00000109,TIKC00000042,2025-08-23 11:52:33,2025-08-28 05:19:09,SHIPPED,MYR,726.4,0,41.4,5,,,MALAYSIA
TIK-ORD00000110,TIKC00000050,2025-07-29 21:09:45,2025-08-27 05:39:51,REFUNDED,MYR,187.8,0,10.8,3,,,MALAYSIA
TIK-ORD00000111,TIKC00000003,2025-05-26 06:54:06,2025-08-17 11:13:55,COMPLETED,MYR,171.2,0,10.2,9,,TIK-INFL012,MALAYSIA
